Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
944;ASOCIACION PROVINCIAL DE TAEKWONDO;01/01/2001;70 E/ 154 Y 155;LOS HORNOS;Disciplinas Orientales;3;1941;;;;octubre 8 de 2000;;L: 106514 / M: 22643;85/03;;1038;;;;;FRANCISCO RODOLFO O. TEL: 450-1804;2001 ( no ha registrado movimientos contables );;;;X;;
945;CENTRO VECINAL CULTURAL Y DEPORTIVO MANOS SOLIDARIAS DE LOS ALTOS DE SAN CARLOS;01/01/2002;42 N° 2191 E/ 138 Y 139;SAN CARLOS;Promoción y Fomento;4;1900;;manossolidariassancarlos@yahoo.com.ar;;noviembre 28 de 2001;;L: 113054 / M: 23812;0031/03;;1039;;;;;GUTIERREZ JUAN ANTONIO TEL: 479-5879;2002 ( declaración jurada de patrimonio ) piden prórroga de 90 días para presentar comisión directiva (26/12/02);;;;X;;
946;EL ARTE DE LA MUJER SISTEMA BETTY;01/01/2001;198 N° 667 E/ 45 Y 46;OLMOS;Aprendizaje y Educación;7;;496-3348;;;mayo 26 de 2001;;L: 110268 / M: 23053;754/03;;1040;;;;;TELLECHEA BEATRIZ TEL: 496-3348;declaración jurada de patrimonio 2001;;;;X;;
947;CENTRO VECINAL LA VOZ DEL PUEBLO;01/01/2001;461 ESQ. 11;CITY BELL;Promoción y Fomento;10;1896;;;;enero 3 de 2001;;L: 108170 / M: 23329;244/03;;1041;;;;;CARBONEL JOSE LUIS;2001 ( declaración jurada de patrimonio ) presentó covocatoria de asamblea para el día 21/1/2005;;;;X;;
948;FUNDACION VALORAR;01/01/2002;48 N° 632 E/ 7 Y 8 P 5 Of. 73;C. URBANO NORTE;Promoción y Fomento;1;1900;;info@fundacionvalorar.org.ar /;;marzo 27 de 2001;;L: 109137 / M: 22556;178/03;;1042;;;;;RAIMONDI GUILLERMO TEL: 154-289538;2001-2002;;;;X;;
949;TALLER MANOS ESPECIALES TRABAJANDO;01/01/2003;517 N° 615 ESQ. 1;RINGUELET;Capacidades Diferentes (en general);11;1901;;;;agosto 18 de 2002;;L: 116389 / M: 25175;283/03;;1044;;;;;AMARILLA LILIANA TEL: 471-6996;2003 ( declaración jurada de patrimonio );;;;X;;
950;CENTRO DE FOMENTO EL SUEÑO;01/01/2002;22 E/ 518 Y 519;HERNANDEZ;Promoción y Fomento;11;;;;;febrero 4 de 2002;;L: 113709 / M: 23964;284/03;;1045;;;;;ALZOGARAY OSCAR TEL: 484-4076;2002 ( declaración jurada de patrimonio );;;;X;;
951;ASOCIACION COORDINADORA DE USUARIOS CONSUMIDORES Y CONTRIBUYENTES;01/01/2003;528 N° 879 E/ 3 Y 4;TOLOSA;Usuarios y Consumidores;6;1906;425-0520 / 1544751776;acucc@arnet.com.ar;;mayo 5 de 1998;;L: 92389 / M: 17970;393/03;;1048;;;;;ENRIQUEZ REINALDO JOSE TEL: 011-42513941;2002-2003;;;;X;;
952;FUN.DAR DEMOCRACIA ESTADO Y SOCIEDAD;01/01/2005;54 N° 570 P 1;C. URBANO SUR;Promoción y Fomento;9;1900;;fun-dar@speedy.com.ar;;marzo 4 de 2002;;L: 114700 / M: 24233;482/03;;1049;;;;;RODIL RODOLFO TEL: 422-3875 / 422-7173 / 483-6870;2004-2005 ( estado de resultados proyectado );;;;X;;
953;24 DE FEBRERO;01/01/2003;27 BIS N° 2176 E/ 76 Y 77;SAN LORENZO;Desarrollo Humano y Solidaridad Social (en general);5;1900;453-2410;ariaso2003@yahoo.com.ar;;julio 24 de 2001;;L: 113488 / M: 25571;514/03;;1050;;;;;ARIAS OMAR;2003 ( declaración jurada de patrimonio );;;;X;;
954;CENTRO DEPORTIVO Y RECREATIVO LISANDRO OLMOS;01/01/2003;198 Nº 663 E/ 45 Y 46;OLMOS;Fútbol;7;;;;;agosto 24 de 1999;;L: 99232 / M: 20216;559/03;;1051;;;;;FRANCISCO VIRGILIO VERA;2002-2003;;;;X;;
955;ASOCIACION CIVIL JOVENES PARA UN FUTURO MEJOR;01/01/2002;476 N° 3437 E/ 29 Y 30;CITY BELL;Asistencia Familiar;10;1896;;;;30 de Abril 2002;;L: 115527 / M: 24778;558/03;;1052;;;;;ULISES FRANCO TEL: 480-0807;2002 ( declaración jurada de patrimonio );;;;X;;
956;CENTRO CULTURAL EL FALDON;01/01/2010;56 N° 1145;C. URBANO SUR;Centros Culturales;9;1900;;elfaldon@gmail.com;;febrero 2 de 2002;;L: 114070 / M: 24574;738/03;;1053;;;;;FIGURETTI LUCIANA TEL: 15- 5114063;2010;31 de diciembre;;X;;2011;
957;MANOS LABORALES;01/01/2003;139 N° 483 E/ 41 Y 42;SAN CARLOS;Asistencia Familiar;4;1900;;;;de Abril 2003;;;657/03;;1054;;;;;RITHAUD CARLOS;2003 ( declaración jurada de patrimonio );;;;X;;
958;CARITA DE ANGEL DE SAN CARLOS;01/01/2003;138 N° 433 E/ 40 Y 41;SAN CARLOS;Desarrollo Humano y Solidaridad Social (en general);4;1900;;;;25 de Abril 2003;;L: 120602;656/03;;1055;;;;;IBARGUREN MARIO TEL: 154-384186;2003 ( declaración jurada de patrimonio );;;;X;;
959;OJITOS NEGROS;01/01/2002;70 N° 2490 ESQ. 144;LOS HORNOS;Desarrollo Humano y Solidaridad Social (en general);3;1941;;;;mayo 12 de 2002;;L: 115903;973/03;;1057;;;;;SILVIA LONCHA TEL: 15506-1629;2002 ( declaración jurada de patrimonio );;;;X;;
960;ASOCIACION PROTECTORA DE LA BIBLIOTECA PUBLICA CENTRAL GENERAL JOSE DE SAN MARTIN DE LA PROVINCIA DE BUENOS AIRES;01/01/2017;47 N° 510;C. URBANO NORTE;Promoción y Fomento;1;1900;;dirbi@ed.gba.gov.ar /;;;;L: 70485 / M: 13285;768/03;;1058;;;;;CLAVIJO JOSE MARIA TEL: 451-3855;2017;31 de diciembre;;X;;2011;
961;BIEN CULTURAL ASOCIACION BONAERENSE PARA LA DEFENSA DEL PATRIMONIO TANGIBLE E INTANGIBLE;01/01/2005;12 N° 574 E/ 526 Y 527;TOLOSA;Promoción y Fomento;2;;422-7690;info@biencultural.org.ar;;marzo 1 de 2003;;L: 119804 / M: 25572;894/03;;1059;;;;;TORRE ALFREDO 422-7690;2005-2006;4 de noviembre;;;X;;
962;ASOCIACION COOPERADORA DEL HOSPITAL ZONAL ESPECIALIZADO EN ODONTOLOGIA INFANTIL DR. ADOLFO M. BOLLINI;01/01/2012;53 ESQ. 16;C. URBANO SUR;Cooperación (Salud);1;1900;453-4723;;;octubre 26 de 1994;;L: 77977 / M: 15020;933/03;;1060;;;;;GOURINSKI GRACIELA TEL: 421-3339;2012;31 de diciembre;;;X;;
963;ASOCIACION CULTURAL DEPORTIVA Y BIBLIOTECA NUEVO MILENIO PROVINCIAL;01/01/2004;45 N° 2016 E/ 135 Y 136;SAN CARLOS;Asistencia Infancia y Adolescencia;4;1900;470-3702;;;marzo 18 de 2003;;L: 119912;945/03;;1061;;;;;FLORES SILVIA NOEMI TEL: 470-3702 / 155-030988;2003-2004 ( resta presentar aprobación por acta de memoria y balance );;;;X;;
964;GRILLITOS;01/01/2006;123 E/ 96 Y 97;VILLA ELVIRA;Asistencia Familiar;8;1900;486-5048;;;octubre 29 de 2002;;L: 117593 / M: 25413;972/03;;1062;;;;;CARLOS AYALA;2005-2006;;;;X;;
965;AYUDEMOS A AYUDAR;01/01/2006;126 E/ 608 Y 609;VILLA ELVIRA;Comedores;8;1900;486-1050;silvhebe@hotmail.com;;enero 22 de 1999;;L: 95985 / M: 19021;1024/03;;1063;;;;;SANCHEZ ESTELA TEL: 15- 5984589;2006;31 de diciembre;;;X;;
966;MIGUEL MALFETANO;01/01/2003;168 E/ 523 Y 524;ROMERO;Asistencia Familiar;14;;;;;junio 14 de 2003;;;1023/03;;1064;;;;;PERUNETTI JULIO TEL: 422-0338;2003;31 de diciembre;;;X;;
967;ASOCIACION COOPERADORA HOSPITAL SUBZONAL ESPECIALIZADO DR. RAMOS MEJIA;01/01/2004;143 Y 521;SAN CARLOS;Cooperación (Salud);14;1900;;;;;;L: 80182 / M: 16070;1025/03;;1065;;;;;ELOY GONZALEZ TEL: 479-5178;2003-2004 ( resta presentar memoria y estado de situación patrimonial );;;;X;;
968;INSTITUTO DE PLANEAMIENTO E INVESTIGACIONES SOCIALES Y EDUCATIVAS BONAERENSES;01/01/2006;14 N° 1425 1/2;C. URBANO SUR;Aprendizaje y Educación;9;1900;452-0093;ceprad@gmail.com;;julio 8 de 2000;;L: 108811 / M: 22552;1239/03;;1066;;;;;PROF. JOSE RAUL MOLINA;2006;31 de diciembre;;;X;;
969;AGRUPACION ROMERENSE DE LA TERCERA EDAD A.R.T.E.;01/01/2002;517 N° 7609 E/ 170 Y 171;ROMERO;Actividades y terapias recreativas;14;;;;;mayo 28 de 1992;;L: 61900 / M: 11791;1199/03;;1068;;;;;MARIA AMUNARRIZ TEL: 478-0407;2001-2002;30 de junio;X;;X;;
970;ASOCIACION BONAERENSE PARA LA SOLIDARIDAD E INTEGRACION SOCIAL DE LAS PERSONAS CON DISCAPACIDAD VISUAL LIA LOPEZ;01/01/2010;12 N° 408 ESQ. 5;CITY BELL;Capacidades diferentes (visual);10;1896;424-2038;asociacionlialopez@uolsinectis.com. ar;;mayo 28 de 2001;;L: 110306 / M: 22724;1235/03;;1069;SI;;;;ROLDAN OCTAVIO ROLANDO TEL: 425-8631;2009-2010;31 de mayo;X;;X;;
971;CENTRO CULTURAL JOSE HERNANDEZ;01/01/2003;511 BIS N° 2938 E/ 24 Y 25;HERNANDEZ;Centros Culturales;11;;;;;junio 26 de 2003;;;1238/03;;1070;;;;;SCIPIONE GRACIELA TEL: 480-3433;2003 ( declaración jurada de patrimonio );26 de junio;;;X;;
972;CIRCULO VECINAL DE PROMOCION COMUNITARIA;01/01/2003;DIAG. 430 E/ DIAG. 4 Y ROQUE SAENZ PEÑA;VILLA ELISA;Desarrollo Humano y Solidaridad Social (en general);12;1894;;;;junio 2 de 2003;;L: 121447;1234/03;;1071;;;;;MEDINA HORACIO;2003 ( declaración jurada de patrimonio );2  de junio;;;X;;
973;CENTRO ECOLOGICO Y RECREATIVO LISANDRO OLMOS;01/01/2003;40 E/ 198 Y 199 S/ N;OLMOS;Medio Ambiente;7;;;;;octubre 14 de 1993;;L: 69613 / M: 13232;1237/03;;1072;;;;;CARDELLINI CLAUDIO HERNAN TEL: 496-1060;2002-2003;30 de junio;X;;X;;
974;DEPORTISTAS PLATENSES UNIDOS;01/01/2014;35 Nº 207 e/ 115 y 116;C. URBANO NORTE;Deportes en general;13;1900;;esperandres@yahoo.com.ar / andresesper@yahoo.com;;21 de Abril 2001;;L: 109719 / M: 22890;1236/03;;1073;;;;;ESPER ANDRES TEL: 15- 5403114;2013-2014;31 de mayo;;X;;;
975;CENTRO DE ESTUDIOS DE PEDAGOGIA HUMANISTICA;01/01/2002;44 N° 828;C. URBANO NORTE;Centros de Estudios;1;1900;;;;noviembre 3 de 2000;;L: 106956 / M: 21757;1402/03;;1074;;;;;LOPEZ LAURA TEL: 484-4190;2002;31 de diciembre;;;X;;
976;LOS CHICOS DE VILLA GARIBALDI;01/01/2003;643 E/ 7 Y 8;VILLA ELVIRA;Asistencia Infancia y Adolescencia;8;1900;;;;junio 24 de 2002;;L: 116016 / M: 24938;1401/03;;1075;;;;;HUMBERTO HERRLEIN;2003;;;;X;;
977;FAMILIA DE SCHOENSTATT DE LA PLATA;01/01/2008;15 N° 1005;C. URBANO SUR;Culto;1;1900;;;;septiembre 14 de 1996;;L: 86290 / M: 16686;1403/03;;1076;;;;;ELENA TERESA AYANZ TEL: 482-2195 / 154632553;2007-2008;31 de octubre;X;;X;;
978;LOS CHICOS DE MI BARRIO;01/01/2003;78 E/ 134 Y 134 BIS;LOS HORNOS;Comedores;3;1941;;;;julio 8 de 2003;;;1464/03;;1077;;;;;GONZALEZ AMERICA;2003 ( declaración jurada de patrimonio );;;;X;;
979;ASOCIACION COOPERADORA ESCUELA N° 81;01/01/2002;11 Y 491;GONNET;Cooperación (Educación);13;1897;484-2025;;;;;;1061/03;;1078;;;;;NELIDA ELIANA GUTIERREZ;2002;;;;X;;
980;PRIMERO LOS CHICOS Y COPA DE LECHE;01/01/2003;80 E/ 28 Y 29 DUPLEX N° 153;SAN LORENZO;Asistencia Infancia y Adolescencia;5;1900;;;;año 2000;;;1608/03;;1079;;;;;ALDAZABAL PATRICIA MARIA;2003 ( declaración jurada de patrimonio );;;;X;;
981;CENTRO DE FOMENTO POR UN MUNDO MEJOR;01/01/2003;99 E/ 119 Y 120;VILLA ELVIRA;Comedores;8;1900;;;;agosto de 1998;;L: 94555 / M: 18753;1602/03;;1080;;;;;NORMA RODRIGUEZ TEL: 486-0375;2002-2003 ( aprobación por acta de asamblea, resta presentar documentación );;X;;X;;
982;INTEGRACION;01/01/2003;2 Y 515 S/N;RINGUELET;Asistencia Familiar;6;1901;;;;mayo 15 de 2003;;L: 21091;1605/03;;1081;;;;;MOREL DAMIAN ISAAC TEL: 471-3463;2003;;;;X;;
983;FUNDACION CATEDRAL;01/01/2010;51 E/ 14 Y 15;C. URBANO SUR;Equipamiento e Infraestructura;1;1900;427-3504 / 425-1772;fundcat@netverk.com.ar;;marzo 31 de 1992;;L: 61382 / M: 11342;1613/03;;1082;;;;;SALABERREN MIRIAM;2009-2010;31de marzo;;;X;2010;
984;CLUB SOCIAL Y DEPORTIVO UNION Y FUERZA;01/01/2005;531 N° 634 E/ 1 Y 2;TOLOSA;Deportes en general;6;1906;421-5000;clubunionyfuerza@hotmail.com;;febrero 5 de 1927;;L: 3234 / M: 957;1538/03;;1083;;;;;RAUL ALBERTO VIERA TEL: 489-1833;2004-2005;;X;;X;;
985;ASOCIACION INFANTIL CHACARITA FUTBOL CLUB;01/01/2003;78 Y 29;SAN LORENZO;Fútbol;5;1900;;;;agosto 12 de 2003;;;1537/03;;1084;;;;;BELTRAMINI WALTER OSCAR;2003 ( declaración jurada de patrimonio );;;;X;;
986;PEQUEÑO HOGAR PICHUCA GUTIERREZ;01/01/2013;517 Nº 7573 E/170 Y 171;ROMERO;Asistencia Infancia y Adolescencia;10;1896;;arigutierrez@hotmail.com / yaninae_03@hotmail.com;;enero 18 de 1999;;L: 96919 / M: 20926;1604/03;;1085;;SI;;;GUTIERREZ LIDIA ARACELI TEL: 478-1403 / 478-1834 (15) 15683385;2013;31 de diciembre;;;X;;
987;ASOCIACION CIVIL ANGEL AZUL;01/01/2018;117 N° 216 E/ 36 Y 37;C. URBANO NORTE;Asistencia Infancia y Adolescencia;2;1900;;hogardechicosangelazul@hotmail.com;;marzo 27 de 2000;;L: 103524 / M: 20832;1768/03;;1086;;SI;;;ELENA VITA DE AMENDOLA TEL: 422-5141/ 15-4091696;2018;31 de diciembre;;;X;2010;
988;BIBLIOTECA POPULAR TEATRAL DE LA PLATA;01/01/2017;10 N° 1076 E/ 54 Y 55;C. URBANO SUR;Bibliotecas;9;1900;425-7203;bibliotecateatral@gmail.com.ar;;marzo 5 de 1998;;L: 91968 / M: 18847;33/04;;1087;;;;;Mariela Mirc, tel: 4257503;2017;31 de diciembre;;X;;2018;
989;COPA DE LECHE SABER QUE SE PUEDE;01/01/2002;514 ESQ. 3 BIS;RINGUELET;Copas de Leche;6;1901;;;;agosto 18 de 2002;;L: 117588 / M: 25405;1767/03;;1088;;;;;REGUEIRO OSCAR TEL: 471-2319;2002;;;;X;;
990;RED DE ACCIONES SOLIDARIAS;01/01/2011;90 Nº 680 E/ 8 Y 9;VILLA ELVIRA;Desarrollo Humano y Solidaridad Social (en general);8;1900;457-7049;reddeaccionessolidarias@hotmail.com;;julio 27 de 2003;;;304/04;;1089;;;;;HUGO OSCAR GUAS 6148406;2011;31 de diciembre;;X;;;
991;FOROS DE OPINION ORGANIZACION NO GUBERNAMENTAL PARA EL RESCATE Y PUESTA EN VALOR DEL DISCURSO SOCIAL COMO ESPACIO DE PARTICIPACION COMUNITARIA;01/01/2009;69 N° 568;C. URBANO SUR;Promoción y Fomento;9;1900;422-8528;;;30 de Abril 2000;;L: 105650 / M: 21494;52/04;;1090;;;;;MONICA MERCURI TEL: 15- 5085106;2008-2009;30 de abril;;;X;;
992;CENTRO DE ESTUDIOS URBANOS;01/01/2004;40 N° 1129;C. URBANO ESTE;Centros de Estudios;2;1900;424-9009;;;septiembre 17 de 2001;;;34/04;;1091;;;;;PAULA PARISI TEL: 421-0837;2003-2004;;;;X;;
993;TITUCHA DE DEFENSA AL ANIMAL;01/01/2011;445 Y 24;CITY BELL;Vida Animal;10;1896;;;;;;L: 113756 / M: 23828;255/04;;1092;;;;;YAMPEY GLORIA SUSANA 011 15 40478887;2010-2011;2 de octubre;;;X;;
994;MADRES SOLIDARIAS DE VILLA ALBA;01/01/2002;605 N° 287 Y 123;VILLA ELVIRA;Desarrollo Humano y Solidaridad Social (en general);8;1900;154-208683;;;agosto 6 de 2002;;L: 117185 / M: 25235;37/04;;1093;;;;;MADRID LAUREANA DEL VALLE TEL: 486-3672 / 456-1073;2002 ( declaración jurada de patrimonio );;;;X;;
995;CENTRO Y PROMOCION POR LA MIRADA INOCENTE DE LOS NIÑOS;01/01/2003;138 E/ 511 Y 514 S/N;SAN CARLOS;Asistencia Infancia y Adolescencia;14;1900;;;;septiembre 1 de 2003;;;36/04;;1094;;;;;BIGATT MARIO JORGE;2003 ( declaración jurada de patrimonio );;;;X;;
996;CENTRO DE DESARROLLO COMUNITARIO HEROES DE MALVINAS Y BIBLIOTECA POPULAR;01/01/2003;153 N° 1590 E/ 64 Y 65;LOS HORNOS;Comedores;3;1941;450-0333;;;junio 15 de 2002;;L: 116239 / M: 26410;365/04;;1095;;;;;PALMIERI FERNANDO;2003 ( declaración jurada de patrimonio );;;;X;;
997;EL CHARQUITO;01/01/2005;162 Y 52;OLMOS;Comedores;7;;;;;septiembre 16 de 2000;;L: 106496 / M: 22183;266/04;;1096;;;;;PEREZ ELSA TEL: 479-8502;2005-2006;;;;X;;
998;CENTRO COMUNITARIO Y CULTURAL SAN JOSE COPA DE LECHE;01/01/2009;47 S/N E/ 150 Y 151;SAN CARLOS;Copas de Leche;4;1900;470-6291;;;julio 30 de 2002;;L: 116073 / M: 24993;309/04;;1098;;;;;BURGHARTT HORACIO TEL: 470-6291/ 15-5986808;2008-2009;31 de julio;;;X;2010;
999;BRUJULA PREVENCION Y TRATAMIENTO DE LAS SITUACIONES DE CONFLICTO EN COMUNIDADES EDUCATIVAS;01/01/2016;37 Nº 1263;C. URBANO ESTE;Asistencia y Fomento de Instituciones;1;1900;427-4345;;;marzo 26 de 2002;;L: 114219 / M: 24232;256/04;;1099;;;;;IRMA PAULINA 15 4082869;2015-2016;1 de marzo;;;X;2010;
1000;ASOCIACION AMIGOS DEL MUSEO DE ARTE CONTEMPORANEO LATINOAMERICANO AAMACLA;01/01/2003;50 E/ 6 Y 7;C. URBANO NORTE;Equipamiento e Infraestructura;1;1900;;porotogil@terra.com.ar ( presidente ) / marcosc@netverk.com.ar ( vicepresidente );;octubre 6 de 1999;;L: 99787 / M: 20111;257/04;;1100;;;;;VICTOR GIL TEL: 450-6134;2002-2003;;;;X;;
1001;CENTRO CULTURAL SUEÑOS DEL SUR;01/01/2019;CNO. GRAL. BELGRANO E/ 417 Y 418;VILLA ELISA;Centros Culturales;12;1894;474-1494;ccsueñosdelsur@hotmail.com;;mayo 9 de 2003;;L 120797 M 26803;653/04;;1101;SI;;;;LENCINA SILVANA TEL: 474-1494 / PUPY: 155-669246;2019;31 de mayo;;X;;;
1002;LA PLATA FUTBOL CLUB;01/01/2004;46 N° 919 P 5 DTO. A;C. URBANO ESTE;Fútbol;1;1900;;;;febrero 27 de 2004;;L: 126960 / M: 27505;298/04;;1102;;;;;MIGUEL MORALES;2004 ( resta presentar balance );;;;X;;
1003;CENTRO DE ASISTENCIA AL VECINO;01/01/2003;143 N° 1481;LOS HORNOS;Desarrollo Humano y Solidaridad Social (en general);3;1941;;;;junio 18 de 2002;;L: 115809 / M: 24428;462/04;;1103;;;;;PASTORE MARIA MARCELA TEL: 450-0767;2002-2003;;;;X;;
1004;SIEMBRA Y CULTIVO;01/01/2004;27 BIS N° 2230 E/ 77 Y 78;SAN LORENZO;Asistencia y Fomento de Instituciones;5;1900;;siembraycultivo@yahoo.com.ar - redtrabajar@yahoo.com.ar - siembraycultivo@ciudad.com.ar;;enero 1 de 2003;;L: 119803;486/04;;1104;;;;;JOSE MARIA DYALLO;2003-2004;;;;X;;
1005;ASOCIACION ANAHI;01/01/2011;47 Nº 1122 1/2;C. URBANO SUR;Derechos Humanos;5;1900;421-2681;"mariaisabelchorobick@sinectis.com.ar; asociacionanahi@yahoo.com";;agosto 12 de 1998;;L: 102474;485/04;;1105;;;;;PAVON ELSA TEL: 011- 62832066;2011;31 de diciembre;;;X;;
1006;RECURSOS NATURALES DEL FUTURO PARA LOS ARGENTINOS ( R.E.N.A.F.A.S. );01/01/2003;168 E/ 518 Y 519;ROMERO;Medio Ambiente;14;;;;;julio 25 de 2003;;;508/04;;1106;;;;;MARTA GAMARRA TEL: 478-1117;2003;;;;X;;
1007;ASOCIACION VECINAL EL OLVIDO;01/01/2007;98 N° 251 E/ 1 Y 115;VILLA ELVIRA;Asistencia Infancia y Adolescencia;8;1900;;;;julio 3 de 1996;;L: 116612 / M: 25126;570/04;;1108;;;;;SAIRE OSCAR TEL: 486-4820;2006-2007;30 de noviembre;;;X;;
1008;ASOCIACION COOPERADORA JARDIN DE INFANTES MEDALLA MILAGROSA;01/01/2003;118 E/ 523 Y 524 N° 870;TOLOSA;Cooperación (Educación);6;1906;154-989687;;;octubre 22 de 1981;;;648/04;;1109;;;;;BENITEZ KARINA;2002-2003;;;;X;;
1009;ASOCIACION VECINAL LA FORTALEZA ( COMEDOR LOS NIÑOS SON LO PRIMERO );01/01/2003;16 ESQ. 424;VILLA ELISA;Comedores;12;1894;;;;setiembre 18 de 2002;;L: 117193 / M: 25075;;;1110;;;;;MALDONADO JOAQUIN EUSTAQUIO TEL: 473-1098;2003;;;;X;;
1010;CLUB INDEPENDIENTE DE ABASTO;01/01/2004;210 ESQ. 518;ABASTO;Deportes en general;7;1903;;;;febrero 2 de 1993;;L: 64646 / M: 12163;671/04;;1111;;;;;DUVA GUILLERMO TEL: 154-761777;2003-2004;;;;X;;
1011;TODOS DAMOS UNA MANO;01/01/2003;42 N° 1537;C. URBANO ESTE;Asistencia y Fomento de Instituciones;4;1900;;damosunamano@hotmail.com;;junio 23 de 2002;;L: 1/115354 / M: 24212;967/04;;1120;;;;;VIGO GUSTAVO TEL: 451-4323;2003;;;;X;;
1012;UNION VECINAL BARRIO FRISON;01/01/2004;6 N° 4271 E/ 618 Y 619;VILLA ELVIRA;Promoción y Fomento;8;1900;;;;marzo 2 de 2004;;En trámite;991/04;;1121;;;;;PEREZ JUAN JOSE TEL: 155-602948;2004 ( declaración jurada de patrimonio );;;;X;;
1013;DEL CEIBO DE LA PLATA;01/01/2004;151 BIS N° 520 e/ 42 y 43;SAN CARLOS;Equipamiento e Infraestructura;4;1900;;blady72@yahoo.com.ar;;marzo 8 de 2004;;L: 1/127347 / M: 27788;993/04;;1122;;;;;COSARINSKY BLADIMIRO TEL: 15-5395323;2004 ( declaración jurada de patrimonio );;;;X;;
1014;"COOPERATIVA DE VIVIENDA CREDITO Y CONSUMO ""RENACER"" DE VILLA ELISA LIMITADA";01/01/2007;"AVENIDA ARANA Y 9 TORRE 9, 2° ""C""";VILLA ELISA;Cooperativismo;12;1894;473-0054;;;Junio 15 de 2001;;REGISTRO PCIAL. DE COOP. N° 4863;992/04;;1123;;;;;MALTEMPO MIGUEL ANGEL TEL: 473-0054;2007;;;;X;;
1015;CLUB SOCIAL Y DEPORTIVO PEDRO BENOIT;01/01/2003;526 BIS E/ 15 Y 16;TOLOSA;Deportes en general;6;1906;;;;febrero 2 de 2000;;L: 1/103031 M: 20966;1042/04;;1125;;;;;CARLOS SILVA;2003;;;;X;;
1016;GRUPO DE TERCERA EDAD VECINAL SAN LORENZO;01/01/2003;74 E/ 18 Y 19;SAN LORENZO;Actividades y terapias recreativas;5;1900;;;;marzo 11 de 1993;;L: 71614 / M: 13615;1070/04;;1126;;;;;TUDDA AMALIA TEL: 453 - 0642;2002-2003;;;;X;;
1017;CASA DE CULTURA DE HORNEROS A CONDORES;01/01/2004;42 E/ 183 Y 184;OLMOS;Asistencia Infancia y Adolescencia;14;;;;;6 de Abril 2004;;en trámite;1073/04;;1127;;;;;IRIS GRACIELA SEQUEIROS;2004 ( declaración jurada de patrimonio );;;;X;;
1018;ASOCIACION SER PARA EL DESARROLLO SOCIAL;01/01/2004;17 N° 1781;C. URBANO ESTE;Centros Culturales;9;1900;;;;mayo 22 de 2002;;L: 114802 / M: 24559;1079/04;;1128;;;;;MONASTERIO ALBERTO TEL.: 451 -0666;2003-2004;;;;X;;
1019;ASOCIACION CIVIL DE DEFENSA INTEGRAL Y DERECHOS DE LA AMA DE CASA;01/01/2004;2 N° 1219;RINGUELET;Usuarios y Consumidores;6;1901;;adidacbsas@yahoo.com.ar;;16 de Abril 2003;;L: 1/120364 / M: 27018;1199/04;;1130;;;;;ADORNO BERTA CHAVEZ;2004 ( declaración Jurada de patrimonio );;;;X;;
1020;FUNDACION JOSE SAHIUN TAU;01/01/2015;64 N° 537 E/ 5 Y 6;C. URBANO SUR;Desarrollo Humano y Solidaridad Social (en general);9;1900;424-4330 / 483-4803;mersiltau@hotmail.com;;marzo 19 de 1981;;L: 1/25685 / M: 14352;1208/04;;1131;SI;;;;MERCEDES SILVIA TAU;2015 falta acta;31 de diciembre;;;X;;
1021;CENTRO CULTURAL ARTE PARADISO;01/01/2003;8 N° 1328;C. URBANO SUR;Centros Culturales;9;1900;427-3599;;;noviembre 21 de 2002;;L: 118214 / M: 25534;1209/04;;1132;;;;;LAXAGUE MONICA GRACIELA TEL: 155038053;2003;;;;X;;
1022;FUNDACION DE ENDOCRINOLOGIA NUTRICION INFANTIL Y CRECIMIENTO (FUNDENIC);01/01/2003;55 N° 575;C. URBANO SUR;Especialidades Médicas;9;1900;;;;marzo 19 de 1992;;L: 1/61414 / M: 11456;1297/04;;1133;;;;;DELIA CANDELARIA MORAS TEL.: 421 - 6369;2002-2003;;;;X;;
1023;CENTRO CULTURAL GENESIS;01/01/2003;44 E/ 196 Y 197;OLMOS;Centros Culturales;7;;;;;;;L: 71462 / M: 13552;;;1134;;;;;MARSICO MARCELA;2002-2003;;;;X;;
1024;FORTALEZA;01/01/2008;14 N° 325 DTO. 3;C. URBANO ESTE;Asistencia Infancia y Adolescencia;2;1900;155346315;;;mayo 10 de 2004;;L: 128495 / M: 27867;1314/04;;1135;;;;;TARDON PAULA TEL: 452-1296 / 155346315;2008;31 de diciembre;;;X;;
1025;DIAGONAL VERDE;01/01/2003;21 N° 415 DPTO. 5;C. URBANO ESTE;Medio Ambiente;4;1900;;;;junio 5 de 2003;;;1315/04;;1136;;;;;LEYRIA MARCELO;2003 ( declaración jurada de patrimonio );;;;X;;
